ParentEduc,PracticeSport,NrSiblings,WklyStudyHours,MathScore,ReadingScore,ExamScore,Gender_male,LunchType_standard,TestPrep_none,IsFirstChild_yes,TransportMeans_school_bus,EthnicGroup_group b,EthnicGroup_group c,EthnicGroup_group d,EthnicGroup_group e,ParentMaritalStatus_married,ParentMaritalStatus_single,ParentMaritalStatus_widowed,Result,Cluster,LearnerCategory
2,2,3.0,7.5,60,65.0,67.0,1,0,1,1,1,1,0,0,0,1,0,0,Fail,2,At-Risk
3,1,5.0,2.5,48,55.0,52.0,0,0,1,1,1,0,0,0,1,1,0,0,Fail,2,At-Risk
3,1,3.0,2.5,63,53.0,55.0,1,1,1,1,1,1,0,0,0,0,1,0,Fail,1,Average
1,2,2.0,7.5,67,72.0,77.0,0,1,1,1,0,0,1,0,0,1,0,0,Pass,1,Average
1,1,3.0,7.5,82,84.0,82.0,1,1,0,1,1,0,1,0,0,1,0,0,Pass,0,High-Performer
2,1,3.0,12.0,54,55.0,48.0,1,1,1,0,1,0,0,0,1,1,0,0,Fail,1,Average
3,2,2.0,2.5,76,68.0,68.0,1,0,0,0,0,0,1,0,0,1,0,0,Fail,0,High-Performer
2,2,3.0,12.0,56,45.0,43.0,1,1,1,1,1,0,1,0,0,0,0,0,Fail,1,Average
1,1,2.0,7.5,88,78.0,75.0,1,1,1,1,1,0,0,1,0,0,1,0,Pass,1,Average
1,2,2.0,12.0,75,86.0,90.0,0,0,0,1,0,0,1,0,0,1,0,0,Pass,0,High-Performer
1,1,2.0,7.5,33,41.0,43.0,0,0,1,1,0,0,1,0,0,0,0,0,Fail,2,At-Risk
3,1,3.0,12.0,84,86.0,87.0,0,1,0,1,1,0,0,0,1,1,0,0,Pass,0,High-Performer
3,1,2.0,7.5,52,55.0,49.0,1,1,1,0,0,0,0,1,0,0,1,0,Fail,1,Average
1,2,1.0,12.0,61,60.0,60.0,1,1,0,0,0,0,0,1,0,1,0,0,Fail,0,High-Performer
1,2,3.0,12.0,23,27.5,26.5,0,0,1,1,1,0,1,0,0,0,1,0,Fail,2,At-Risk
1,1,2.0,7.5,39,39.0,34.0,1,0,1,1,1,0,0,0,0,1,0,0,Fail,2,At-Risk
3,1,5.0,7.5,62,61.0,55.0,1,0,1,1,0,0,0,0,0,1,0,0,Fail,2,At-Risk
1,1,0.0,7.5,59,58.0,59.0,0,1,1,1,1,0,0,1,0,1,0,0,Fail,1,Average
1,0,1.0,2.5,63,62.0,58.0,1,1,1,1,0,1,0,0,0,1,0,0,Fail,1,Average
1,1,4.0,7.5,45,37.0,37.0,1,0,1,1,1,0,0,1,0,1,0,0,Fail,2,At-Risk
2,2,3.0,7.5,61,73.0,75.0,0,1,1,0,1,0,1,0,0,1,0,0,Pass,1,Average
3,2,3.0,7.5,62,58.0,57.0,1,0,1,0,1,1,0,0,0,0,0,0,Fail,2,At-Risk
3,1,3.0,7.5,39,64.0,57.0,0,1,1,1,1,0,1,0,0,0,1,0,Fail,1,Average
2,1,3.0,12.0,64,55.0,64.0,1,1,0,1,0,0,0,1,0,0,0,0,Fail,0,High-Performer
3,2,1.0,7.5,42,51.0,49.0,0,0,1,1,0,0,0,0,0,0,1,0,Fail,2,At-Risk
1,0,3.0,7.5,59,56.0,54.0,1,0,1,1,1,0,1,0,0,0,0,0,Fail,2,At-Risk
1,1,2.0,2.5,47,48.0,40.0,1,1,1,1,0,0,1,0,0,1,0,0,Fail,1,Average
3,1,2.0,7.5,44,41.0,38.0,1,0,1,0,1,1,0,0,0,0,0,0,Fail,2,At-Risk
1,1,5.0,7.5,28,27.5,26.5,1,1,1,0,1,0,0,0,1,1,0,0,Fail,1,Average
1,2,2.0,7.5,82,79.0,83.0,1,1,0,1,1,0,0,0,0,1,0,0,Pass,0,High-Performer
1,1,2.0,12.0,62,75.0,73.0,0,1,0,1,1,0,0,1,0,0,0,0,Pass,0,High-Performer
5,0,1.0,7.5,60,68.0,68.0,0,1,1,1,1,0,0,0,1,0,0,0,Fail,1,Average
3,2,0.0,12.0,49,50.0,52.0,0,1,1,1,0,1,0,0,0,1,0,0,Fail,1,Average
1,1,0.0,7.5,49,45.0,45.0,1,0,1,1,0,1,0,0,0,1,0,0,Fail,2,At-Risk
2,1,2.0,7.5,50,47.0,54.0,1,0,0,0,1,0,0,0,0,1,0,0,Fail,2,At-Risk
3,2,0.0,7.5,74,64.0,64.0,1,1,1,1,0,0,0,0,1,1,0,0,Fail,1,Average
1,0,3.0,7.5,40,38.0,33.0,1,0,1,1,0,0,0,1,0,1,0,0,Fail,2,At-Risk
2,1,0.0,7.5,73,80.0,82.0,0,1,1,1,0,0,1,0,0,0,0,0,Pass,1,Average
2,1,2.0,2.5,73,81.0,86.0,0,0,1,1,1,0,1,0,0,1,0,0,Pass,2,At-Risk
3,1,0.0,7.5,71,71.0,74.0,0,1,1,1,0,0,0,1,0,0,1,0,Pass,1,Average
2,2,3.0,2.5,57,69.0,67.0,0,1,1,1,1,0,0,0,0,0,0,0,Fail,1,Average
1,1,2.0,12.0,75,87.0,83.0,0,1,1,1,0,0,0,1,0,0,1,0,Pass,1,Average
1,2,4.0,7.5,27,34.0,36.0,1,0,1,0,1,0,1,0,0,0,0,0,Fail,2,At-Risk
1,1,1.0,2.5,68,77.0,69.0,1,1,1,0,1,0,1,0,0,0,0,0,Pass,1,Average
3,2,3.0,12.0,45,46.0,52.0,1,0,0,0,0,0,1,0,0,1,0,0,Fail,2,At-Risk
2,2,4.0,7.5,81,87.0,94.0,0,1,1,1,0,1,0,0,0,1,0,0,Pass,1,Average
1,2,5.0,7.5,63,65.0,61.0,1,1,0,1,1,1,0,0,0,1,0,0,Fail,0,High-Performer
2,0,0.0,2.5,59,69.0,66.0,0,1,0,1,1,0,1,0,0,1,0,0,Fail,0,High-Performer
2,2,2.0,12.0,61,69.0,64.0,0,0,1,1,1,0,0,1,0,0,1,0,Fail,2,At-Risk
4,2,3.0,2.5,64,66.0,62.0,0,1,1,1,1,0,0,1,0,1,0,0,Fail,1,Average
2,1,6.0,7.5,79,67.0,67.0,1,1,1,0,1,1,0,0,0,1,0,0,Fail,1,Average
4,1,1.0,7.5,68,74.0,74.0,1,1,0,0,0,0,0,1,0,0,1,0,Pass,0,High-Performer
3,2,3.0,7.5,87,92.0,91.0,0,1,1,1,1,0,0,1,0,1,0,0,Pass,1,Average
1,2,3.0,7.5,61,44.0,48.0,1,1,0,0,1,1,0,0,0,1,0,0,Fail,0,High-Performer
2,2,1.0,12.0,100,88.0,94.0,1,1,0,1,1,0,1,0,0,1,0,0,Pass,0,High-Performer
2,1,0.0,7.5,58,67.0,72.0,0,1,1,1,1,0,1,0,0,1,0,0,Pass,1,Average
5,1,3.0,7.5,87,100.0,100.0,0,1,1,0,0,0,0,1,0,1,0,0,Pass,1,Average
1,1,0.0,7.5,66,63.0,64.0,1,1,0,1,1,0,0,0,1,0,1,0,Fail,0,High-Performer
3,1,2.0,7.5,52,76.0,70.0,0,0,1,1,1,1,0,0,0,1,0,0,Pass,2,At-Risk
1,2,3.0,7.5,72,64.0,73.0,0,1,1,0,1,1,0,0,0,0,1,0,Pass,1,Average
3,1,4.0,12.0,79,90.0,99.0,0,0,0,1,1,0,0,1,0,0,1,0,Pass,0,High-Performer
1,2,6.0,7.5,63,55.0,50.0,1,1,1,0,1,0,1,0,0,0,1,0,Fail,1,Average
3,1,0.0,7.5,54,53.0,47.0,1,1,1,1,1,0,0,0,0,1,0,0,Fail,1,Average
2,0,1.0,2.5,47,56.0,51.0,0,1,1,1,1,0,0,1,0,1,0,0,Fail,1,Average
4,2,3.0,2.5,98,99.0,100.0,0,1,0,1,1,0,0,0,1,1,0,0,Pass,0,High-Performer
1,1,4.0,7.5,84,77.0,74.0,1,1,1,1,0,0,1,0,0,1,0,0,Pass,1,Average
4,0,1.0,7.5,72,83.0,79.0,0,0,1,0,1,1,0,0,0,0,1,0,Pass,2,At-Risk
4,0,2.0,7.5,75,80.0,77.0,0,1,1,0,0,0,0,1,0,1,0,0,Pass,1,Average
1,2,0.0,12.0,54,64.0,63.0,0,1,1,1,0,0,0,1,0,0,1,0,Fail,1,Average
2,1,3.0,7.5,55,69.0,65.0,0,1,1,0,1,0,1,0,0,0,0,0,Fail,1,Average
4,0,1.0,7.5,76,90.0,86.0,0,1,0,1,1,0,1,0,0,1,0,0,Pass,0,High-Performer
3,1,3.0,2.5,88,87.0,90.0,1,1,0,1,1,1,0,0,0,1,0,0,Pass,0,High-Performer
2,2,1.0,7.5,90,94.0,95.0,0,1,0,1,1,0,1,0,0,0,1,0,Pass,0,High-Performer
1,1,3.0,7.5,63,57.0,56.0,1,0,1,0,0,0,0,1,0,1,0,0,Fail,2,At-Risk
2,2,3.0,2.5,82,79.0,73.0,1,1,1,0,1,0,0,0,1,0,1,0,Pass,1,Average
1,0,2.0,12.0,86,94.0,85.0,0,1,1,1,1,1,0,0,0,0,1,0,Pass,1,Average
1,1,3.0,7.5,72,68.0,67.0,1,1,1,0,0,1,0,0,0,1,0,0,Fail,1,Average
2,2,3.0,2.5,64,76.0,74.0,1,1,1,0,1,0,0,1,0,1,0,0,Pass,1,Average
5,0,2.0,2.5,77,81.0,72.0,1,1,1,1,0,0,0,1,0,0,1,0,Pass,1,Average
4,2,0.0,7.5,52,49.0,52.0,0,1,1,1,1,0,0,0,0,1,0,0,Fail,1,Average
5,1,1.0,2.5,87,84.0,82.0,1,1,1,0,1,0,0,1,0,0,1,0,Pass,1,Average
1,2,1.0,2.5,52,36.0,40.0,1,0,0,1,0,0,1,0,0,0,1,0,Fail,2,At-Risk
2,2,2.0,7.5,89,75.0,71.0,1,0,0,1,1,0,1,0,0,1,0,0,Pass,0,High-Performer
2,0,6.0,2.5,70,78.0,80.0,0,1,0,0,1,0,1,0,0,1,0,0,Pass,0,High-Performer
4,1,1.0,12.0,76,80.0,76.0,1,0,0,1,0,0,0,1,0,1,0,0,Pass,0,High-Performer
4,1,1.0,2.5,56,54.0,47.0,1,1,1,1,1,0,1,0,0,1,0,0,Fail,1,Average
1,1,1.0,7.5,51,54.0,41.0,1,1,0,1,0,1,0,0,0,0,0,0,Fail,0,High-Performer
1,1,0.0,2.5,67,54.0,54.0,1,1,1,1,1,0,0,0,1,0,0,0,Fail,1,Average
3,1,1.0,7.5,59,66.0,67.0,0,1,1,1,0,0,1,0,0,1,0,0,Fail,1,Average
2,1,0.0,12.0,73,61.0,70.0,1,1,0,1,0,0,0,1,0,1,0,0,Pass,0,High-Performer
1,1,1.0,7.5,76,72.0,71.0,0,1,1,0,1,0,0,1,0,1,0,0,Pass,1,Average
2,2,2.0,7.5,60,62.0,65.0,0,0,1,0,0,0,1,0,0,1,0,0,Fail,2,At-Risk
2,2,1.0,2.5,41,54.0,54.0,0,0,0,1,0,0,0,0,1,0,1,0,Fail,2,At-Risk
1,1,1.0,7.5,57,43.0,47.0,1,1,1,0,1,0,0,0,0,0,1,0,Fail,1,Average
2,1,3.0,12.0,90,74.0,79.0,1,1,1,1,0,0,0,1,0,0,0,0,Pass,1,Average
2,2,1.0,2.5,23,38.0,33.0,0,0,1,1,1,0,1,0,0,0,1,0,Fail,2,At-Risk
4,1,1.0,2.5,65,73.0,79.0,0,1,0,1,0,0,0,1,0,1,0,0,Pass,0,High-Performer
3,2,3.0,7.5,100,100.0,95.0,1,0,0,0,0,0,0,0,1,1,0,0,Pass,0,High-Performer
1,1,2.0,7.5,62,67.0,69.0,1,1,0,0,0,0,0,0,0,1,0,0,Pass,0,High-Performer
3,1,2.0,2.5,57,68.0,64.0,0,1,0,1,1,1,0,0,0,0,1,0,Fail,0,High-Performer
4,1,1.0,7.5,54,49.0,47.0,1,1,1,0,1,0,0,1,0,1,0,0,Fail,1,Average
1,0,2.0,2.5,58,65.0,58.0,1,1,1,0,1,0,0,1,0,0,1,0,Fail,1,Average
2,2,3.0,2.5,69,88.0,88.0,0,1,0,1,1,0,1,0,0,1,0,0,Pass,0,High-Performer
1,2,1.0,7.5,67,75.0,79.0,0,0,0,1,1,0,0,0,1,1,0,0,Pass,0,High-Performer
1,1,2.0,2.5,58,59.0,58.0,1,0,1,1,1,1,0,0,0,1,0,0,Fail,2,At-Risk
3,2,2.0,7.5,62,87.0,89.0,0,1,1,1,0,1,0,0,0,0,0,0,Pass,1,Average
3,2,3.0,12.0,70,63.0,66.0,1,0,1,0,1,0,0,1,0,1,0,0,Fail,2,At-Risk
3,1,2.0,7.5,82,78.0,74.0,1,0,0,1,0,1,0,0,0,0,1,0,Pass,0,High-Performer
2,1,3.0,7.5,75,88.0,85.0,0,0,0,1,1,0,0,0,1,1,0,0,Pass,0,High-Performer
5,0,2.0,7.5,48,53.0,52.0,1,0,1,0,1,1,0,0,0,0,1,0,Fail,2,At-Risk
1,1,1.0,7.5,52,53.0,49.0,1,1,1,1,1,0,1,0,0,0,0,0,Fail,1,Average
5,0,3.0,2.5,76,89.0,86.0,0,1,1,1,0,0,0,0,1,1,0,0,Pass,1,Average
4,1,0.0,7.5,96,100.0,100.0,0,1,0,1,1,0,1,0,0,1,0,0,Pass,0,High-Performer
1,1,5.0,7.5,53,51.0,51.0,1,0,0,1,0,0,1,0,0,0,1,0,Fail,2,At-Risk
5,2,1.0,12.0,62,79.0,83.0,0,0,0,0,0,1,0,0,0,1,0,0,Pass,0,High-Performer
1,2,2.0,7.5,70,84.0,79.0,0,1,0,1,0,1,0,0,0,1,0,0,Pass,0,High-Performer
1,2,5.0,12.0,76,75.0,77.0,1,1,0,1,1,0,0,0,0,0,0,0,Pass,0,High-Performer
1,1,3.0,2.5,91,86.0,76.0,1,1,1,0,1,0,0,0,1,1,0,0,Pass,1,Average
2,0,3.0,7.5,76,84.0,78.0,0,1,1,1,1,0,0,1,0,0,1,0,Pass,1,Average
3,1,2.0,7.5,63,67.0,70.0,0,1,1,1,1,0,1,0,0,1,0,0,Pass,1,Average
4,1,1.0,2.5,41,50.0,52.0,0,0,0,0,1,0,1,0,0,1,0,0,Fail,2,At-Risk
5,1,1.0,7.5,81,92.0,89.0,0,1,0,1,1,0,1,0,0,0,0,0,Pass,0,High-Performer
1,1,2.0,2.5,44,53.0,56.0,0,0,0,0,1,1,0,0,0,1,0,0,Fail,0,High-Performer
3,2,2.0,2.5,70,76.0,77.0,0,1,0,1,1,0,1,0,0,1,0,0,Pass,0,High-Performer
5,2,2.0,7.5,54,72.0,65.0,0,0,0,1,1,1,0,0,0,0,0,0,Fail,0,High-Performer
1,2,0.0,7.5,99,100.0,100.0,0,1,0,1,1,0,0,1,0,0,0,0,Pass,0,High-Performer
5,1,2.0,2.5,60,68.0,75.0,1,0,0,1,0,0,1,0,0,0,1,0,Pass,0,High-Performer
2,1,1.0,7.5,46,64.0,66.0,0,0,1,1,0,0,1,0,0,0,1,0,Fail,2,At-Risk
1,1,3.0,7.5,50,50.0,47.0,0,1,1,1,0,0,0,0,1,1,0,0,Fail,1,Average
3,1,2.0,2.5,63,67.0,68.0,0,1,1,0,0,0,0,1,0,0,1,0,Fail,1,Average
3,0,5.0,2.5,61,65.0,62.0,1,0,0,1,0,0,1,0,0,1,0,0,Fail,0,High-Performer
1,0,1.0,2.5,75,73.0,62.0,1,1,1,1,1,0,0,0,1,1,0,0,Fail,1,Average
1,1,4.0,7.5,62,66.0,68.0,1,1,0,0,0,0,0,1,0,1,0,0,Fail,0,High-Performer
1,2,3.0,2.5,47,51.0,45.0,1,0,1,0,1,1,0,0,0,1,0,0,Fail,2,At-Risk
4,1,1.0,2.5,74,86.0,85.0,0,1,1,1,1,0,1,0,0,0,1,0,Pass,1,Average
3,1,2.0,7.5,66,65.0,69.0,0,1,1,1,1,0,0,0,1,1,0,0,Pass,1,Average
2,1,2.0,2.5,73,81.0,77.0,1,1,0,0,1,0,0,1,0,1,0,0,Pass,0,High-Performer
1,1,3.0,7.5,62,64.0,66.0,0,1,1,0,0,1,0,0,0,0,1,0,Fail,1,Average
2,2,4.0,7.5,79,62.0,63.0,1,1,0,1,1,0,0,1,0,1,0,0,Fail,0,High-Performer
5,2,1.0,2.5,69,85.0,87.0,0,1,0,1,1,0,1,0,0,1,0,0,Pass,0,High-Performer
3,2,4.0,2.5,60,54.0,52.0,1,1,1,0,1,0,0,1,0,1,0,0,Fail,1,Average
1,0,1.0,7.5,57,67.0,63.0,1,0,0,1,1,0,1,0,0,1,0,0,Fail,0,High-Performer
1,1,6.0,12.0,56,56.0,52.0,1,0,1,0,0,0,0,0,1,1,0,0,Fail,2,At-Risk
2,2,3.0,12.0,47,54.0,57.0,0,0,1,1,1,1,0,0,0,0,0,1,Fail,2,At-Risk
4,2,3.0,7.5,80,80.0,77.0,0,0,1,1,0,1,0,0,0,1,0,0,Pass,2,At-Risk
3,2,1.0,2.5,66,83.0,86.0,0,1,0,0,0,0,1,0,0,0,1,0,Pass,0,High-Performer
2,1,3.0,2.5,63,79.0,75.0,0,0,1,1,1,0,0,1,0,0,0,0,Pass,2,At-Risk
3,1,2.0,7.5,69,77.0,69.0,1,1,1,1,1,0,1,0,0,1,0,0,Pass,1,Average
3,2,2.0,7.5,58,70.0,69.0,0,1,1,1,1,0,1,0,0,1,0,0,Pass,1,Average
2,2,1.0,2.5,58,40.0,42.0,1,1,1,1,1,0,1,0,0,0,1,0,Fail,1,Average
1,1,2.0,2.5,71,69.0,76.0,1,1,0,1,1,0,0,1,0,1,0,0,Pass,0,High-Performer
4,2,4.0,7.5,84,62.0,63.0,1,1,1,1,1,0,0,0,1,1,0,0,Fail,1,Average
1,2,2.0,7.5,83,81.0,77.0,1,1,0,0,1,0,0,0,1,1,0,0,Pass,0,High-Performer
2,2,1.0,2.5,73,80.0,76.0,0,0,1,1,0,1,0,0,0,1,0,0,Pass,2,At-Risk
2,1,2.0,7.5,58,61.0,66.0,0,0,1,0,1,1,0,0,0,0,1,0,Fail,2,At-Risk
1,1,3.0,2.5,77,77.0,77.0,1,0,0,1,1,0,0,1,0,0,0,1,Pass,0,High-Performer
2,1,3.0,7.5,35,28.0,27.0,1,0,1,1,1,0,1,0,0,1,0,0,Fail,2,At-Risk
1,1,2.0,7.5,42,62.0,60.0,0,0,1,1,1,0,1,0,0,0,0,0,Fail,2,At-Risk
3,2,1.0,7.5,61,51.0,57.0,1,0,0,0,1,0,1,0,0,0,1,0,Fail,0,High-Performer
1,1,1.0,7.5,87,91.0,81.0,1,1,1,1,0,0,0,0,1,1,0,0,Pass,1,Average
1,2,2.0,7.5,86,84.0,76.0,1,1,0,0,0,1,0,0,0,1,0,0,Pass,0,High-Performer
3,1,3.0,2.5,80,84.0,86.0,0,0,0,1,1,0,0,0,1,1,0,0,Pass,0,High-Performer
1,2,3.0,2.5,33,41.0,39.0,0,0,1,0,1,0,1,0,0,1,0,0,Fail,2,At-Risk
1,1,2.0,2.5,64,75.0,68.0,1,0,1,0,1,1,0,0,0,1,0,0,Fail,2,At-Risk
1,0,1.0,7.5,59,55.0,54.0,1,1,0,0,1,1,0,0,0,0,1,0,Fail,0,High-Performer
1,2,4.0,7.5,57,69.0,75.0,0,1,0,1,1,0,0,1,0,0,0,1,Pass,0,High-Performer
3,1,0.0,12.0,89,86.0,74.0,1,1,1,1,1,1,0,0,0,1,0,0,Pass,1,Average
1,1,3.0,7.5,55,65.0,62.0,0,0,1,0,1,0,1,0,0,0,0,0,Fail,2,At-Risk
1,2,3.0,7.5,88,81.0,76.0,1,1,1,0,1,0,0,1,0,1,0,0,Pass,1,Average
3,2,3.0,12.0,55,67.0,76.0,0,1,0,1,1,1,0,0,0,0,0,0,Pass,0,High-Performer
5,1,2.0,2.5,43,55.0,52.0,0,0,1,0,0,0,0,0,1,1,0,0,Fail,2,At-Risk
2,1,5.0,7.5,72,72.0,71.0,0,1,1,1,1,0,1,0,0,1,0,0,Pass,1,Average
1,2,0.0,7.5,58,50.0,55.0,1,1,1,1,1,0,0,1,0,0,1,0,Fail,1,Average
1,1,4.0,7.5,68,72.0,64.0,1,0,1,0,1,0,0,0,0,0,0,0,Fail,2,At-Risk
2,2,3.0,12.0,93,97.0,98.0,0,1,0,1,1,0,1,0,0,1,0,0,Pass,0,High-Performer
2,2,0.0,7.5,78,64.0,67.0,1,1,1,1,1,0,0,1,0,1,0,0,Fail,1,Average
3,2,1.0,7.5,47,43.0,43.0,1,1,1,1,0,0,1,0,0,1,0,0,Fail,1,Average
4,1,2.0,7.5,67,86.0,83.0,0,1,1,1,1,1,0,0,0,1,0,0,Pass,1,Average
1,1,3.0,12.0,94,88.0,79.0,1,1,1,1,1,0,0,0,1,0,0,0,Pass,1,Average
4,1,3.0,12.0,85,83.0,85.0,1,1,0,0,1,0,1,0,0,1,0,0,Pass,0,High-Performer
3,2,1.0,12.0,84,77.0,80.0,1,1,1,0,1,0,0,1,0,1,0,0,Pass,1,Average
4,2,2.0,2.5,62,65.0,67.0,1,0,1,0,1,0,0,1,0,0,0,0,Fail,2,At-Risk
1,1,4.0,2.5,62,59.0,72.0,0,1,1,1,1,0,0,1,0,1,0,0,Pass,1,Average
2,2,2.0,12.0,57,53.0,53.0,1,1,1,1,0,1,0,0,0,1,0,0,Fail,1,Average
3,1,1.0,7.5,84,80.0,80.0,1,1,1,1,0,0,1,0,0,1,0,0,Pass,1,Average
1,1,1.0,12.0,75,69.0,67.0,1,0,0,1,0,0,0,1,0,0,0,0,Fail,0,High-Performer
4,2,4.0,7.5,82,84.0,85.0,0,1,1,0,0,0,0,0,1,0,1,0,Pass,1,Average
2,2,2.0,2.5,58,50.0,43.0,1,1,1,0,1,0,0,0,1,0,1,0,Fail,1,Average
1,2,1.0,2.5,74,73.0,69.0,1,1,1,1,1,0,0,1,0,0,0,0,Pass,1,Average
3,1,3.0,2.5,82,74.0,69.0,1,1,1,0,0,0,1,0,0,1,0,0,Pass,1,Average
3,2,2.0,7.5,91,77.0,75.0,1,1,1,0,1,0,0,0,1,1,0,0,Pass,1,Average
1,1,1.0,7.5,58,70.0,68.0,0,1,0,1,0,1,0,0,0,0,1,0,Fail,0,High-Performer
1,1,2.0,2.5,63,63.0,60.0,0,1,1,1,0,1,0,0,0,1,0,0,Fail,1,Average
1,1,2.0,12.0,70,60.0,54.0,1,1,1,0,1,0,1,0,0,1,0,0,Fail,1,Average
1,1,2.0,7.5,47,49.0,49.0,1,1,0,1,1,0,0,0,0,0,1,0,Fail,0,High-Performer
2,2,4.0,2.5,70,82.0,83.0,0,0,1,1,1,0,0,1,0,1,0,0,Pass,2,At-Risk
1,1,3.0,7.5,60,70.0,70.0,0,1,0,1,0,1,0,0,0,0,1,0,Pass,0,High-Performer
5,1,3.0,7.5,80,80.0,72.0,1,1,1,0,1,0,0,1,0,1,0,0,Pass,1,Average
1,1,0.0,7.5,54,52.0,52.0,1,1,1,1,0,0,0,1,0,1,0,0,Fail,1,Average
